Name,Cell_ID,ArAr.80_Hg,Ru.100_Ru,Ru.102_Ru,Cd.113_aSMA,Sn.115_ECAD,I.127_127I,Xe.131_131Xe,Pr.141_S100A9,Nd.142_F4,Nd.143_Ly6G,Nd.144_CD68,Nd.145_MHCII,Nd.146_MMR,Sm.147_CD10,Sm.149_TCF1,Sm.150_PDPN,Sm.152_CD31,Eu.153_TOX,Sm.154_Pankeratin,Gd.155_Vimentin,Gd.156_Arginase1,Gd.158_CD11c,Tb.159_lgD,Dy.160_B220,Dy.161_CD3e,Dy.162_CD4,Dy.163_CD8a,Dy.164_BCL6,Ho.165_FOXP3,Er.166_CD86,Er.167_GranzymerB,Tm.169_BCL6,Yb.170_CD21,Yb.172_CD45,Yb.173_CD79a,Yb.174_PDL1,Lu.175_PD1,Lu.176_LgM,BCKG.190_190BCKG,Ir.191_191Ir,Ir.193_193Ir,Pt.195_IMCSEGEM,Pt.196_IMCSEGEM,Pt.198_IMCSEGEM,Pb.204_204Pb,Object.Info...ROIName,Object.Info...Envelope,X_position,Y_position
7811_ROI_001_split_TE,1,8831.926097,2.145748058,7.174504925,0.176470588,0.029411765,38.23800525,62.01881285,6.466199763,0.558114925,2.00906478,1.786813585,0,0.157796516,0,0.088235294,0.403183888,0.113741044,0.235294118,1.032348047,12.10444853,0,4.057967431,0,0.569350215,0,0,0,0,0,0.088235294,0.031852557,0.058189164,1.084218113,22.67496064,0.499624221,0.58670525,0.20537856,0.164313579,0.029411765,202.2461498,364.1783734,2.396007897,7.150332521,2.766401438,1.150020946,Tumor Edge,(36.123276 7.981567) -> (36.131279 7.973600),36.1272775,7.9775835
7811_ROI_001_split_TE,2,8739.382735,2.639365159,5.589037701,0.052631579,0.052631579,38.18377224,63.13405348,4.838096317,0.287526457,2.990544834,2.135605128,0,0.119152068,0,0,0.781732459,0.078947368,0.366717244,1.734648874,13.76998683,0,2.856574708,0,0.649413211,0,0,0,0,0,0,0.078947368,0.216916941,1.287580518,23.50601368,0.698802779,0.824199413,0.447089377,0.116878124,0,167.9351825,294.7130129,3.104237484,6.10263315,4.346508294,0.966037622,Tumor Edge,(36.129276 7.981567) -> (36.137280 7.974596),36.133278,7.9780815
7811_ROI_001_split_TE,3,8765.035177,2.140635463,6.395341249,2.53701476,0.393061363,39.18700392,63.90891258,2.226131475,0.054347826,1.296654434,13.69479179,0.010869565,3.864735402,0,0.206635369,5.398439034,0.180243141,0.731417341,0.122370117,39.72122584,0.470005107,12.12590312,0,0.9426539,0.054347826,0,0,0,0,0.222504401,0.093418369,0.366627973,0.771116986,14.15961855,0.384860494,1.699875171,0.679188236,0.161163322,0,83.07080312,144.062468,5.029831841,9.392240229,4.936618551,0.976935905,Tumor Edge,(36.138283 7.981567) -> (36.150288 7.972604),36.1442855,7.9770855
7811_ROI_001_split_TE,4,8792.85392,1.357758852,5.126568144,3.442229784,0.198706398,38.38240008,61.65602733,2.262380879,0.085714286,0.69967659,4.552032076,0.014285714,2.96048829,0,0.405235062,2.574141118,2.273758582,0.301757438,0,25.78946913,0.1,6.253703082,0,0.686773416,0,0,0,0,0,0.028571429,0.061168265,0.287154077,0.444704134,11.11799224,0.467239135,0.846176488,0.502027493,0.114047115,0,98.17771988,172.002798,4.149986739,8.01739582,3.894899657,1.029957383,Tumor Edge,(36.151287 7.981567) -> (36.161293 7.974596),36.15629,7.9780815
7811_ROI_001_split_TE,5,8728.797864,1.896321738,6.141992757,1.94673123,0.05,36.72115426,62.17090106,0.078479721,0.0125,0.434366554,1.026664616,0,0.5489088,0.016800739,0.598034092,2.47094847,9.119971204,0.367161794,0,49.63358017,0.0625,0.56034189,0,0.591979054,0.0875,0,0,0,0,0.138914359,0.134722688,0.681672429,0.326721683,4.391234232,0.296042383,1.231493591,0.798745908,0.123604293,0.026330872,60.94707012,103.5342267,4.507870758,8.032856342,5.467708848,0.996275486,Tumor Edge,(36.162292 7.981567) -> (36.173298 7.973600),36.167795,7.9775835
7811_ROI_001_split_TE,6,8688.401303,1.561750948,5.361533989,2.651945605,0.190866425,38.31112327,62.3197024,0.022266555,0.035175879,0.512531501,0.996568786,0,1.526387985,0.010050251,0.050251256,4.755932492,2.20101301,0.295932625,0,23.4248254,0,1.34281217,0,0.575877696,0.227008945,0,0,0,0,0.137398625,0.085639407,0.465684828,0.307542315,8.574425197,0.214752594,1.323306826,0.695717571,0.316080508,0.044106167,95.13483987,171.1373393,3.641677511,7.500731516,3.586518829,1.050810506,Tumor Edge,(36.174301 7.981567) -> (36.188305 7.961649),36.181303,7.971608
7811_ROI_001_split_TE,7,8792.657878,2.034563206,5.669777124,0.741303298,0.053335203,38.66446368,64.15007491,0.619230148,0.124856591,0.506245352,0.709648462,0,1.275402536,0,0.01452254,5.03545907,8.27288805,1.316977739,0.67496732,26.99260726,0,0.302340395,0,0.720621408,2.260193691,0.011904762,0,0,0.882335923,0.066115407,0.097029849,0.363996296,0.308007029,13.07194127,0.361265137,1.223316069,0.81572865,0.50213565,0.035714286,89.02312543,152.7162454,3.890287372,7.859770701,5.259226864,0.838741885,Tumor Edge,(36.188305 7.981567) -> (36.205315 7.975592),36.19681,7.9785795
7811_ROI_001_split_TE,8,8596.074329,2.113835974,7.275622615,0.39795905,0.22708337,38.38834842,63.23077465,3.166551257,1.303698747,1.083712429,4.280980054,0,4.512387555,0,0.150943396,2.735632305,5.184443006,0.476004493,4.258863573,25.7520869,0,0.531020524,0,1.39527627,0.284903493,0,0,0,0,0.106921565,0.094118928,0.396476777,0.815125465,13.05301514,0.311640764,1.339738864,0.582350945,0.536530407,0,89.74736847,156.6591085,4.25542714,8.541199261,5.906816222,0.908884729,Tumor Edge,(36.202312 7.981567) -> (36.207314 7.967624),36.204813,7.9745955
7811_ROI_001_split_TE,9,8824.83099,1.456400247,4.585303557,0.379129308,1.67122887,37.00879572,63.16596807,0.333418514,0.088888889,0.46833275,1.033353485,0,2.120988215,0.206601297,0.277777778,1.793910571,0.08790621,0.635430556,15.59789488,2.857413594,0,0.111985243,0,0.89083473,0.011142626,0,0,0,0,0.022222222,0.171662634,0.43973677,0.899098731,4.931150214,0.347504897,1.392331523,0.947553006,0.156550903,0.033333333,142.828668,244.8340018,7.966993266,7.250405175,9.128091458,0.96692654,Tumor Edge,(36.208317 7.981567) -> (36.221321 7.971608),36.214819,7.9765875
7811_ROI_001_split_TE,10,8812.448663,1.595555725,5.59479591,0.254901961,1.41195212,37.63388488,64.28461748,0.821125902,0.019607843,0.658526234,0.383213452,0,0.194066555,0.631813356,0.254901961,3.351688953,0.143216542,0.902106926,37.57370343,2.144273424,0,0.380128839,0,1.272248675,0.080389904,0,0,0,0,0,0.023165495,0.554687974,2.165195869,4.562277942,0.195258748,1.504655085,0.636935019,0.218537436,0,113.5041708,209.1657779,12.77812132,13.86345666,9.446869464,0.749916684,Tumor Edge,(36.222324 7.981567) -> (36.233330 7.975592),36.227827,7.9785795
7811_ROI_001_split_TE,11,8736.513346,2.451443356,7.635462155,1.289795789,0.501359001,39.41660084,61.60806869,5.903775585,0.982009042,1.206026556,1.605254578,0.036036036,3.051327564,0,0.247015998,7.982403238,0.177957856,0.911983854,9.627640233,13.21434898,0,2.939688329,0,1.085059846,0.260857253,0,0,0,0.018018018,0.15535232,0.172421719,0.514569014,0.872438647,22.94449326,0.670550894,1.996476758,0.746417692,0.213852948,0.009009009,162.1063021,285.1018702,7.640348286,13.20408201,9.797916777,0.94840613,Tumor Edge,(36.231327 7.981567) -> (36.246334 7.971608),36.2388305,7.9765875
7811_ROI_001_split_TE,12,8711.501273,1.323905096,4.904913723,1.811154246,0.108831954,39.8213432,62.03059683,2.381225265,1.704031641,0.358632603,5.270389709,0,10.1777086,0,0.080837552,13.6534864,0.056608088,0.9200936,0.416006397,24.71811849,0,1.695380865,0,0.879187603,2.590744704,0,0.032,0,0.472873755,0.088,0.142777763,0.287065898,0.582816422,23.33990947,0.66963628,1.818334609,0.601442079,0.260516693,0.008,117.2052392,202.0813435,5.256900812,11.97820413,5.731755572,1.139536005,Tumor Edge,(36.246334 7.981567) -> (36.261341 7.969616),36.2538375,7.9755915
7811_ROI_001_split_TE,13,8823.345301,1.123065219,4.675224437,0.575721197,0.176470588,38.72659874,61.25021508,0.359317646,0.153600384,0.294117647,4.349242351,0.036589545,3.466571068,0,0.029411765,7.074489888,0,1.060718708,0,16.18016766,0,5.507714833,0,0.606404357,2.817367571,0.088235294,0,0,0.029411765,0.980772464,0.058823529,0.389849126,0.354367169,26.8971232,0.717941298,3.730425589,1.186330469,0.309568931,0,96.41367318,165.6342727,3.968591185,8.423570303,6.701667211,1.008336088,Tumor Edge,(36.258339 7.981567) -> (36.266346 7.976587),36.2623425,7.979077
7811_ROI_001_split_TE,14,8831.86121,1.638399167,3.945352612,0.252899224,0,36.82090967,62.66196153,0.450968341,0.25458391,0.544862957,6.465253238,0.090909091,2.78018368,0,0,8.520593918,0.049483261,0.151515152,0,22.98043751,0.03030303,4.581224196,0,0.401851296,0.244728623,0,0,0,0,0.308895693,0.288284482,0.590858647,0.390890468,15.13788743,0.46643436,3.60691568,0.373350133,0.229052957,0,158.4345781,276.874679,3.733681614,7.39520898,4.72715044,1.2616611,Tumor Edge,(36.267345 7.981567) -> (36.276348 7.976587),36.2718465,7.979077
