Name,Cell_ID,ArAr.80_Hg,Ru.100_Ru,Ru.102_Ru,Cd.113_aSMA,Sn.115_ECAD,I.127_127I,Xe.131_131Xe,Pr.141_S100A9,Nd.142_F4,Nd.143_Ly6G,Nd.144_CD68,Nd.145_MHCII,Nd.146_MMR,Sm.147_CD10,Sm.149_TCF1,Sm.150_PDPN,Sm.152_CD31,Eu.153_TOX,Sm.154_Pankeratin,Gd.155_Vimentin,Gd.156_Arginase1,Gd.158_CD11c,Tb.159_lgD,Dy.160_B220,Dy.161_CD3e,Dy.162_CD4,Dy.163_CD8a,Dy.164_BCL6,Ho.165_FOXP3,Er.166_CD86,Er.167_GranzymerB,Tm.169_BCL6,Yb.170_CD21,Yb.172_CD45,Yb.173_CD79a,Yb.174_PDL1,Lu.175_PD1,Lu.176_LgM,BCKG.190_190BCKG,Ir.191_191Ir,Ir.193_193Ir,Pt.195_IMCSEGEM,Pt.196_IMCSEGEM,Pt.198_IMCSEGEM,Pb.204_204Pb,Object.Info...ROIName,Object.Info...Envelope,X_position,Y_position
7999_ROI_005_TC,1,3747.710063,2.133710992,7.495700221,4.19481449,0.466018665,7.909756899,40.43258039,7.636736562,0,0.083823423,0.032258065,0.016129032,0,0,0.177419355,0.780467016,0,0.032258065,3.063927733,13.88402729,0,0.249752693,0,0.18610986,0,0,0,0,0,0.108312664,0.105235896,0.16391338,0.412719538,6.879887956,0.242303404,0.667039639,0.554380111,0.126103151,0,105.5641513,182.4721491,2.667081676,4.036169119,2.62720013,0.345825207,Tumor Core,(32.125805 8.591656) -> (32.142815 8.586669),32.13431,8.5891625
7999_ROI_005_TC,2,3745.733984,2.42630535,7.27155029,0.127427687,0.066666667,7.075432682,40.74168231,1.993789657,0,0,0.133333333,0,0,0,0.233333333,0.033333333,0,0.251397473,1.827638364,5.107808073,0,0.033333333,0,0.066666667,0,0,0,0,0,0.033333333,0.16835765,0.375522582,0.578644685,1.10966446,0.163977893,0.891884279,0.765004035,0.033333333,0,70.3962904,117.7875367,2.848429902,2.45912083,6.723775506,0.306311623,Tumor Core,(32.141815 8.591656) -> (32.147816 8.582680),32.1448155,8.587168
7999_ROI_005_TC,3,3742.193171,2.83178636,6.878362031,0.041237113,0.343328418,7.224710396,39.24302638,2.631424256,0,0.030927835,0.144329897,0,0,0,0.217919282,0.140763887,0.010309278,0.180483216,4.024351645,4.345863385,0,0.072164948,0,0.124951858,0,0,0,0,0,0.010309278,0.152891561,0.345859496,0.496504507,1.163674323,0.094871354,0.863137924,0.395471854,0.044981102,0,95.31797845,162.3531313,3.298644199,3.036442564,5.656474477,0.42402303,Tumor Core,(32.144814 8.591656) -> (32.155819 8.578691),32.1503165,8.5851735
7999_ROI_005_TC,4,3746.74174,2.339389497,7.076225943,1.26498656,0.080032267,7.388843743,41.18676416,6.142211117,0,0.042810353,0.093899144,0,0.03968254,0,0.333949559,0.229378333,0,0.153152003,4.351269596,10.8887297,0.015873016,0.205545857,0,0.095238095,0.007936508,0,0,0,0,0.007936508,0.058799948,0.318516281,0.496063427,4.531860943,0.154713371,0.539962986,0.626625084,0.087484166,0,55.6033392,95.53517972,3.044136706,3.948641672,5.644914886,0.353265391,Tumor Core,(32.154819 8.591656) -> (32.167828 8.578691),32.1613235,8.5851735
7999_ROI_005_TC,5,3774.926196,2.313634279,6.880175233,0,0.014834583,7.610355816,38.19635483,4.96884212,0.705128326,0.048238153,1.314817455,0,0.04,0.02,0,0.231860263,0,0.141676967,3.413345561,5.714522233,0,1.263465011,0,0.28,0.04,0,0,0,0,0.209111905,0.167706627,0.438279368,1.125815885,2.942141507,0.10159976,0.441723186,0.479588656,0.049207003,0.036354146,67.04186607,118.1193364,3.815749147,3.86574707,5.818408186,0.268745151,Tumor Core,(32.166824 8.591656) -> (32.178833 8.585671),32.1728285,8.5886635
7999_ROI_005_TC,6,3746.923272,2.014960479,6.143893847,0,0,7.704242071,39.65755258,2.35738235,0.018518519,0,0.018518519,0,0,0,0.024288561,0.20942813,0,0,1.009222322,2.992788646,0,0.123035934,0,0.037037037,0,0,0,0,0,0,0.084490012,0.141137321,0.831159234,1.291614486,0.091886704,0.641054575,0.417811957,0.089419232,0,72.07493909,122.4782776,2.557450682,2.335677209,4.466529771,0.445281097,Tumor Core,(32.179832 8.591656) -> (32.188835 8.582680),32.1843335,8.587168
7999_ROI_005_TC,7,3765.970837,2.778518492,8.54815472,0,0,6.70642604,41.58079503,10.0512636,0.083333333,0.043994228,0.116666667,0.016666667,0,0,0.083333333,0.25,0.110613171,0.122027489,3.112589216,6.698587934,0,0.143743165,0,0.083333333,0.016666667,0,0,0,0,0.133333333,0.034569861,0.212522314,1.632959066,3.082484816,0.1987294,0.395680169,0.464583935,0.108652729,0.016666667,131.9169178,229.1337073,2.989864292,3.22939744,4.91440146,0.242391733,Tumor Core,(32.187836 8.591656) -> (32.200844 8.584675),32.19434,8.5881655
7999_ROI_005_TC,8,3759.28699,2.788592298,7.639508643,0,0.048780488,7.627251404,41.43471313,4.931786063,0,0.12195122,0.097560976,0,0,0,0.097560976,0.255318802,0.146341463,0.048780488,5.111820936,7.576561556,0,0.028274964,0,0.186158077,0,0,0,0,0,0.089011599,0.10276795,0.304408091,0.5713392,2.424890789,0.057978761,1.039293592,0.427434543,0.167175712,0.024390244,123.5671642,215.5440404,2.703431448,2.612285317,4.299664742,0.448668997,Tumor Core,(32.200844 8.591656) -> (32.209846 8.585671),32.205345,8.5886635
7999_ROI_005_TC,9,3753.323145,1.912108538,6.68128985,0.006535948,0.131748381,7.346077358,39.18316159,0.219185046,0,0.032679739,0.025441039,0,0,0,0.258121948,0.112128858,0,0.152085432,1.633353981,3.158521281,0,0.174976205,0,0.164661672,0,0,0,0,0,0.026143791,0.075349221,0.226207543,0.595156664,0.721100093,0.070011197,0.713304302,0.371928942,0.045433904,0,125.1821468,211.5483116,2.353755138,2.320358424,4.739406911,0.365951146,Tumor Core,(32.210846 8.591656) -> (32.225853 8.575698),32.2183495,8.583677
7999_ROI_005_TC,10,3739.837023,1.740040867,6.875141429,0,0.226627907,7.526390755,41.10633771,0.484599763,0,0.013011437,0.076086957,0,0,0,0.291963948,0.142996907,0,0.097293544,2.04075116,3.218663003,0,0.536482006,0,0.288884228,0,0,0.010869565,0,0,0.023576696,0.027852833,0.240630229,0.466119822,0.805953128,0.103560607,0.795942225,0.590411193,0.063243429,0.010869565,92.98234141,168.1845155,2.82720048,2.671236691,5.492957303,0.309822046,Tumor Core,(32.225853 8.591656) -> (32.237862 8.581682),32.2318575,8.586669
