Name,Cell_ID,ArAr.80_Hg,Ru.100_Ru,Ru.102_Ru,Cd.113_aSMA,Sn.115_ECAD,I.127_127I,Xe.131_131Xe,Pr.141_S100A9,Nd.142_F4,Nd.143_Ly6G,Nd.144_CD68,Nd.145_MHCII,Nd.146_MMR,Sm.147_CD10,Sm.149_TCF1,Sm.150_PDPN,Sm.152_CD31,Eu.153_TOX,Sm.154_Pankeratin,Gd.155_Vimentin,Gd.156_Arginase1,Gd.158_CD11c,Tb.159_lgD,Dy.160_B220,Dy.161_CD3e,Dy.162_CD4,Dy.163_CD8a,Dy.164_BCL6,Ho.165_FOXP3,Er.166_CD86,Er.167_GranzymerB,Tm.169_BCL6,Yb.170_CD21,Yb.172_CD45,Yb.173_CD79a,Yb.174_PDL1,Lu.175_PD1,Lu.176_LgM,BCKG.190_190BCKG,Ir.191_191Ir,Ir.193_193Ir,Pt.195_IMCSEGEM,Pt.196_IMCSEGEM,Pt.198_IMCSEGEM,Pb.204_204Pb,Object.Info...ROIName,Object.Info...Envelope,X_position,Y_position
7999_ROI_008_TE,1,3748.928874,2.240011055,6.967893942,1.211667009,0,7.367081925,40.00501644,0,0.224428237,0,2.695759551,0.037789438,6.247102361,0,0.024691358,14.54893393,3.388525613,0.037037037,0,49.46761814,0.061934589,0.708138567,0,0.162010814,0.061728395,0,0,0,0,0.659792907,0.039191459,0.297880822,0.238608765,4.999245034,0.198176496,1.398866687,0.403573139,0.05225526,0,124.18567,211.5310627,3.011160221,6.004921323,3.428370099,0.224384234,Tumor Edge,(30.526554 15.524894) -> (30.536558 15.513923),30.531556,15.5194085
7999_ROI_008_TE,2,3734.607247,2.905331612,8.899365781,0.095238095,0.222222222,7.492409085,40.2031824,0,0.45461505,0,5.509908082,0,3.603707382,0,0.484532127,8.04032001,0,0.131990372,3.570263632,71.59393607,0.047619048,0.031746032,0,0.764853519,0.207321774,0,0.015873016,0,0,0.152957988,0.103210818,0.988928483,0.388646502,3.990700112,0.145956206,0.886451324,0.581760804,0.031746032,0,102.5955495,178.321231,4.52514449,4.096829382,4.573099959,0.301083485,Tumor Edge,(30.620592 15.524894) -> (30.628595 15.512925),30.6245935,15.5189095
7999_ROI_008_TE,3,3746.166064,2.268650916,7.138122941,0,0.377091663,6.371813106,36.53107595,0,0,0,0.292193621,0,0,0,0.23943662,0.727638152,0.014179916,0.070422535,5.553069182,5.569800867,0,0,0,0.458453741,0,0,0,0,0,0.169014085,0.100931945,0.2172529,0.506665728,0.650489704,0.036353172,0.787224721,0.413441435,0,0,43.89669434,78.1912362,4.408060813,2.393847613,3.044253694,0.331065258,Tumor Edge,(30.673613 15.524894) -> (30.688620 15.515918),30.6811165,15.520406
7999_ROI_008_TE,4,3727.817393,2.46051515,8.006169493,0.038905225,1.241324698,7.103332847,39.07170888,0,0,0.034782609,1.275811739,0.008695652,0,0.032031508,0.098905019,1.572192583,0.023683642,0.104347826,18.88373867,26.74296738,0.008695652,0.052173913,0,1.205588328,0.0033558,0,0,0,0,0.043839324,0.116190604,0.443570801,1.052052511,1.260537332,0.069185454,0.796274865,0.636943389,0.053330433,0.008695652,91.18301606,154.999799,5.928732071,5.573902305,6.107669255,0.411475515,Tumor Edge,(30.688620 15.524894) -> (30.707626 15.513923),30.698123,15.5194085
7999_ROI_008_TE,5,3723.955588,2.278588178,7.544565553,0,0.901280401,6.96845595,39.22136785,0,0,0.018518519,0.371439679,0.009259259,0,0.090107906,0.261449205,1.327377831,0.055555556,0.266621633,17.79313658,7.529661864,0,0.018518519,0,0.943536045,0.050157971,0,0,0,0,0.14710888,0.182129357,0.899709241,0.71223212,1.15539221,0.098191527,0.828977214,0.60797632,0.096280672,0.00308642,70.17557117,123.2288195,6.175053863,4.005376604,7.175060548,0.270658028,Tumor Edge,(30.710629 15.524894) -> (30.732637 15.504946),30.721633,15.51492
7999_ROI_008_TE,6,3716.542826,2.82654283,8.322021632,0.067846173,0.140949669,6.50289524,38.46712842,0.015544659,0.020134228,0,2.748522178,0.033557047,1.503922525,0.020134228,0.205462028,7.696257349,0.013422819,0.046979866,2.885478738,42.86592111,0.026845638,0.76030313,0,0.441721542,0.480049528,0,0,0,0.013422819,0.444572067,0.177974675,0.761612146,0.446850771,4.683289916,0.177290562,1.770931694,0.582254632,0.063747526,0.006711409,64.52812687,110.7382793,4.12013894,5.859152804,4.461170363,0.31297339,Tumor Edge,(30.783657 15.524894) -> (30.795662 15.506941),30.7896595,15.5159175
7999_ROI_008_TE,7,3697.328078,1.805111781,5.667611551,0.236732278,0.196285058,6.934883085,37.85059112,0.028037383,0,0,1.945690434,0,0,0,0.185253651,2.871253012,0.122071204,0.029065885,1.566399764,23.42529708,0.003115265,0.015576324,0,0.752859075,0.009345794,0,0,0,0,0.054490856,0.089933844,0.689669126,0.375163412,1.581308656,0.089761316,0.697285873,0.396892489,0.070082914,0.011682068,63.66419949,108.3671001,3.623034535,1.563594263,2.365466471,0.332907756,Tumor Edge,(30.996742 15.524894) -> (31.024754 15.505943),31.010748,15.5154185
7999_ROI_008_TE,8,3722.068575,1.464629111,5.023417288,0,0.63202428,6.929904285,38.21427049,0,0,0,0.092572422,0,0,0,0,0.214812203,0,0.013157895,1.718548003,3.22688653,0,0.080507823,0,0.356234227,0,0,0,0,0,0,0.089270084,0.163704529,0.418425191,0.409710001,0.015239141,0.290065965,0.154257065,0.045162143,0.03075595,31.76133647,53.27211451,2.693117372,3.667763776,8.554318844,0.238453531,Tumor Edge,(30.892700 15.523896) -> (30.902704 15.511928),30.897702,15.517912
7999_ROI_008_TE,9,3755.261221,2.001165249,6.129685737,0.333333333,0,6.439946175,38.5104274,0,0.074074074,0,1.704321923,0,4.863432098,0,0,12.75331568,6.283935918,0,0,42.02977541,0,1.339880537,0,0,0.713520575,0,0,0,0.385775169,0.037037037,0.037037037,0.074074074,0.111111111,7.454827234,0.29222763,1.149025542,1.790124076,0.037037037,0.039466787,148.641115,251.5392467,2.234064235,6.247086821,3.087574297,0.312255029,Tumor Edge,(30.540560 15.522900) -> (30.550564 15.518909),30.545562,15.5209045
7999_ROI_008_TE,10,3722.179583,2.987406083,9.941628766,0.263654262,0,7.035055871,38.89153458,0,0.02,0,1.904004542,0,1.090263923,0.01,0.310272019,2.021948017,3.99603045,0.156102409,0,19.32011104,0.062859474,0,0,0.045986557,4.129249711,0.07,0,0,0.534433901,0.04,0.11709415,0.174079711,0.118344414,11.67771211,0.583739656,0.895330575,0.96592335,0.253288203,0.05815547,264.6800891,457.7113098,2.300396821,6.260145041,3.229264632,0.308483682,Tumor Edge,(30.564569 15.522900) -> (30.577574 15.508936),30.5710715,15.515918
