Name,Cell_ID,ArAr.80_Hg,Ru.100_Ru,Ru.102_Ru,Cd.113_aSMA,Sn.115_ECAD,I.127_127I,Xe.131_131Xe,Pr.141_S100A9,Nd.142_F4,Nd.143_Ly6G,Nd.144_CD68,Nd.145_MHCII,Nd.146_MMR,Sm.147_CD10,Sm.149_TCF1,Sm.150_PDPN,Sm.152_CD31,Eu.153_TOX,Sm.154_Pankeratin,Gd.155_Vimentin,Gd.156_Arginase1,Gd.158_CD11c,Tb.159_lgD,Dy.160_B220,Dy.161_CD3e,Dy.162_CD4,Dy.163_CD8a,Dy.164_BCL6,Ho.165_FOXP3,Er.166_CD86,Er.167_GranzymerB,Tm.169_BCL6,Yb.170_CD21,Yb.172_CD45,Yb.173_CD79a,Yb.174_PDL1,Lu.175_PD1,Lu.176_LgM,BCKG.190_190BCKG,Ir.191_191Ir,Ir.193_193Ir,Pt.195_IMCSEGEM,Pt.196_IMCSEGEM,Pt.198_IMCSEGEM,Pb.204_204Pb,Object.Info...ROIName,Object.Info...Envelope,X_position,Y_position
8019_ROI_004_P,1,7052.914764,3.665730136,11.36839336,2.563313985,1.546766076,20.32360663,61.0747217,0,0.193953455,0,2.168088238,0,0.28782164,0,0.138858518,9.112320168,0.799152436,0.31005538,6.298169307,9.158964013,0.213367398,1.869608699,0,0.4033975,0,0,0,0,0,0.290824782,0.185614831,0.335146519,2.285969758,3.891858806,0.208473103,1.567756156,1.199471878,0.111156271,0,43.09977938,71.34567349,7.34906479,15.77219277,6.458285416,0.844700326,PanIN,(20.637312 18.227280) -> (20.649323 18.216307),20.6433175,18.2217935
8019_ROI_004_P,2,7012.650324,3.678834781,12.1556263,2.877403519,0.926660733,20.36234944,63.27252615,0,0.043866914,0.02739726,1.220292923,0,0.095890411,0,0.386465427,6.071107482,5.423267735,0.208899473,5.832722715,14.06491033,0.164383562,1.57638785,0,0.02739726,0,0,0,0,0,0.191780822,0.112485334,0.266294458,1.438684389,3.28690416,0.276682672,1.442146191,0.654447562,0.183601793,0,31.65925763,54.3099012,5.839589664,12.61761611,5.363207161,0.643744678,PanIN,(20.647320 18.227280) -> (20.657330 18.215309),20.652325,18.2212945
8019_ROI_004_P,3,7059.785588,4.569835846,14.43645997,4.734477637,1.123902718,20.28371473,63.90452417,0,0,0,1.610831737,0,0.276166707,0,0.645069836,6.23607066,8.602131651,0.242114595,3.445666714,32.20506024,0.041944492,2.970801215,0,0.247106148,0.122302158,0,0,0,0,0.050359712,0.162725678,0.343869915,0.872171823,4.650604485,0.272976026,2.204820601,0.972356205,0.258621885,0,75.80123104,130.5580706,6.661328844,10.85901942,4.956426302,0.887838283,PanIN,(20.652325 18.221294) -> (20.665337 18.206331),20.658831,18.2138125
8019_ROI_004_P,4,7031.109334,3.518708368,11.14466572,0.224601256,2.203917354,20.17774651,64.95179823,0.258097165,0,0.074136522,1.418711834,0,0.111111111,0,0.392814375,5.134550406,0.070481251,0.442752692,7.60047704,5.515655693,0.083333333,0.840823614,0,0.262534166,0.027777778,0,0,0,0,0.619135519,0.28773887,0.451832573,2.42833107,3.146347271,0.376064486,2.140297181,0.929835382,0,0,66.4703891,111.7416803,8.133847723,12.31489889,6.351147069,0.758285635,PanIN,(20.627302 18.218302) -> (20.637312 18.210321),20.632307,18.2143115
8019_ROI_004_P,5,7006.043387,3.041191641,9.821706023,0.82388935,3.035867093,20.35198037,63.34908528,0,0,0,1.185176049,0,0.020408163,0,0.120608875,5.19447207,0.494298186,0.327305604,6.273050878,7.507762296,0,0.559141833,0,0.285004604,0,0,0,0,0,0.12244898,0.10904451,0.134300894,2.284064186,1.476958251,0.2458169,1.405804836,0.709768558,0.135012323,0.022552459,57.52340058,99.59736281,8.680138077,13.9557343,8.303906286,0.875078119,PanIN,(20.638311 18.217304) -> (20.648321 18.209324),20.643316,18.213314
8019_ROI_004_P,6,7084.745928,3.970400218,12.29598246,2.979505675,1.464123867,20.12992823,65.88413531,0,0.053571429,0,1.699749076,0,0.212491485,0,0.153082794,7.602859105,1.361984107,0.509979866,4.728552618,14.91988707,0.238815831,3.198216572,0,0.38239128,0.046099208,0,0,0,0,0.25,0.094840203,0.276135098,1.122024994,7.751589251,0.336336325,2.544751985,0.998228413,0.168197702,0,112.5363714,199.7997159,6.886238315,14.87438661,6.248484586,0.839723048,PanIN,(20.646320 18.214312) -> (20.654327 18.204336),20.6503235,18.209324
8019_ROI_004_P,7,7075.131394,3.719387329,9.912525379,0.848510554,1.566831646,20.77962069,65.45261294,0,0.277692547,0.180865654,1.898826557,0,0.177172218,0.04109589,0.220575785,8.038653952,0.061878809,0.29247955,4.965509686,17.57013562,0.01369863,0.640678107,0,0.27749312,0.32048691,0,0,0,0.01369863,0.275503302,0.148651188,0.350698401,1.284699027,4.1451145,0.264879117,2.07903515,0.957654327,0.049410069,0.042535212,69.03777914,115.2665021,6.902996364,12.40319309,6.065296834,0.726789299,PanIN,(20.629303 18.213314) -> (20.640314 18.202341),20.6348085,18.2078275
8019_ROI_004_P,8,7058.009277,3.132114789,11.65119327,3.018116822,0.244815018,19.24027525,63.5282383,0.324594646,0.13982416,0.051724138,2.374410524,0,0.457098813,0,0.21129215,15.69451942,0,0.086206897,0.284661902,21.51298099,0.036502867,2.424896604,0,0.24137931,0.072361864,0,0,0,0,0.993195069,0.235949459,0.451976881,0.662107455,7.937300166,0.398196909,3.710841245,1.070374951,0.072578202,0,95.93876638,166.522529,5.650346692,12.1022166,5.272805833,0.584404215,PanIN,(20.617292 18.210321) -> (20.628304 18.201344),20.622798,18.2058325
8019_ROI_004_P,9,7057.009332,3.4213644,13.45066791,4.550650812,1.878813119,19.60895756,63.51139026,0.194444444,0.226984915,0.111111111,1.222093917,0,0,0,0.449893143,9.83348906,0.367406925,0.491160909,5.063243753,36.24888627,0,0.479192267,0,0.280298803,0.055599113,0,0,0,0,0.027777778,0.138888889,0.584722178,0.926379482,3.410250502,0.171134849,2.094055464,0.966946274,0.176568061,0.027777778,93.82493316,166.2030824,7.932295475,11.62441844,5.387869451,0.592861315,PanIN,(20.639313 18.208326) -> (20.646320 18.200346),20.6428165,18.204336
8019_ROI_004_P,10,7049.438366,3.778388285,12.23758672,4.508608059,1.964902076,20.48671377,65.09748004,0.019354839,0.019354839,0,0.822653546,0,0.025806452,0,0.65696092,7.983652172,0.768098425,0.346987989,10.56162022,23.8237594,0.019766697,0.87294526,0,0.286503074,0.063692474,0,0.019354839,0,0.006451613,0.183106888,0.087552744,0.444216807,1.1069777,2.980778994,0.210464248,1.648072893,1.054623099,0.153342258,0.012903226,59.77319182,106.0988351,6.898333592,11.03854216,4.989623495,0.707109768,PanIN,(20.652325 18.206331) -> (20.665337 18.189373),20.658831,18.197852
8019_ROI_004_P,11,7067.360413,4.950854686,14.43973479,1.139902299,1.393319206,20.77062509,63.70740015,0.102272727,0.193421883,0.117374439,1.27401283,0,0.071640223,0.034090909,0.974834427,8.604290637,0.113636364,0.484169972,2.850587312,10.23069184,0,0.994803301,0,1.011903444,0.06456384,0,0.011363636,0,0,0.491889859,0.182533706,1.383324947,0.4457437,4.59761904,0.243273051,2.187064753,1.189697808,0.186826629,0.022727273,110.9996587,189.5344998,7.373405859,7.742468329,8.058406923,0.821090739,PanIN,(20.603279 18.203339) -> (20.617292 18.191368),20.6102855,18.1973535
8019_ROI_004_P,12,7023.708074,2.917891183,9.689700271,1.670514322,0.075757576,19.37091991,65.43959242,0.03030303,0.299991465,0.015151515,1.640613139,0,0.015151515,0,0.218836158,10.08704536,0.060606061,0.083169888,0.101264478,15.16912556,0,0.943758829,0,0.521795627,0.206389469,0,0,0,0,0.721249678,0.133860989,0.410980669,0.480849739,4.128206916,0.257047388,2.037561035,1.017908267,0.112278826,0.015151515,54.61809653,96.21124533,5.126812687,6.459861806,3.23323518,0.854936639,PanIN,(20.617292 18.203339) -> (20.627302 18.193363),20.622297,18.198351
8019_ROI_004_P,13,7043.837017,3.105497948,10.59411913,2.503747089,0.165250281,21.0336441,63.33289511,0.011111111,1.188703423,0.011111111,2.636123306,0,0.289456369,0,0,12.57210567,0.055555556,0.564044791,0.108835239,42.21005869,0.033333333,0.19884563,0,0.360776603,7.251169838,0.035896526,0.033333333,0,1.06508191,0.223040411,0.164259977,0.101892772,0.840500438,10.53688769,0.280774309,1.186802751,1.294150737,0.07955464,0,59.3208983,102.6537596,6.30421206,12.67196119,6.497079559,0.695880065,PanIN,(20.627302 18.203339) -> (20.639313 18.192366),20.6333075,18.1978525
8019_ROI_004_P,14,7045.971053,3.571954375,11.89081838,8.081231767,0.994205312,20.18641842,64.6891864,0,0.289758797,0.011363636,1.143344258,0,0,0,0.257445029,15.94065439,0.068670941,0.174241518,1.271765954,26.17558077,0.022727273,0.914167746,0,0.290645011,0.104493409,0,0,0,0,0.147727273,0.087534928,0.663659933,0.880808232,3.354458426,0.173988401,1.659154452,0.707972596,0.148170563,0,65.5257223,116.5191987,5.908127446,11.61889774,4.379258763,0.700314713,PanIN,(20.640314 18.203339) -> (20.651323 18.190371),20.6458185,18.196855
8019_ROI_004_P,15,7066.577368,3.141925378,9.375407702,0.050547866,0.064102564,20.8743729,62.41100742,1.8907711,0.571904812,0.012820513,5.241457572,0.012820513,2.063615949,0,0,6.128167877,0.076923077,0.288323239,0,53.56345079,0.259279777,2.246227139,0,0.025641026,0.988993018,0.025641026,0,0,0,0.255819478,0.153170245,0.276781388,1.23124884,10.79216783,0.271375305,1.604807366,0.699976904,0.171029614,0,66.78542634,117.1108326,5.660031693,14.21702424,4.870912335,1.063572017,PanIN,(20.382076 18.202341) -> (20.392084 18.190371),20.38708,18.196356
8019_ROI_004_P,16,7016.890144,2.688459355,7.309042484,0.219641807,0,19.54975668,63.72195232,0.015625,0.211162042,0,2.451880019,0.015625,0.319146402,0,0.094792234,5.066344833,0.078125,0,0,31.68309647,0,1.520006465,0,0,0,0,0,0,0,0.25,0.215385797,0.148432361,0.511926645,6.187492929,0.151407419,1.968354626,0.616720103,0.094476266,0,79.75765385,138.9977033,5.228821917,10.97945335,3.454657606,0.699772538,PanIN,(20.393085 18.202341) -> (20.406097 18.194361),20.399591,18.198351
8019_ROI_004_P,17,7092.993173,3.653206585,11.12480329,3.322726489,0.111756585,20.30568228,64.48417021,0.037267081,0.313153503,0.016837479,4.525634267,0.00621118,0.815962472,0,0.038071119,22.22285076,0.166077047,0.043478261,0.043478261,30.61601996,0.023193403,2.728979611,0,0.288880472,0.037267081,0,0,0,0,0.35625698,0.137731511,0.382641963,0.371008278,11.03691399,0.368297754,2.268728436,0.847432755,0.105262391,0.01242236,106.1684229,188.7406943,5.770242263,16.4601454,5.593551704,0.784506593,PanIN,(20.401093 18.202341) -> (20.415106 18.187378),20.4080995,18.1948595
8019_ROI_004_P,18,7074.612558,4.386477054,12.88070931,0.764004374,0.074074074,21.07860604,62.77510389,0,0.240740741,0.149088855,0.625699573,0,0.055555556,0,0.650189179,9.183756961,0.037834126,0.055555556,0.412538226,8.897984257,0,0.188607046,0,0.578660572,0.018518519,0,0,0,0.019934693,0.060046929,0.058280925,1.613712485,0.26228102,4.373688835,0.120246181,1.597201769,0.882066623,0.182807788,0,74.77882829,133.0974625,5.112124094,6.090101783,4.868586512,0.732088875,PanIN,(20.415106 18.202341) -> (20.422112 18.194361),20.418609,18.198351
8019_ROI_004_P,19,7014.821289,2.919276591,7.971569659,0.588489512,0,20.11953869,64.44542098,0,0.716804059,0.058765631,2.493791594,0,0.302658974,0,0.08045977,10.65203828,0,0.204987704,0.138132352,16.06228216,0,0.022988506,0,0.173135237,0.270118517,0,0,0,0,0.186760959,0.146381645,0.53490777,0.28313954,6.169406373,0.53822021,1.301304549,0.907724964,0.09456176,0.028959447,60.04445533,105.813614,5.430157738,12.93329183,5.244949234,0.633354636,PanIN,(20.423113 18.202341) -> (20.436125 18.194361),20.429619,18.198351
8019_ROI_004_P,20,7043.665153,2.898632916,9.69042055,0.446185949,0.066666667,20.20499891,64.84998709,0,0.105137969,0.033333333,1.85065314,0,0.183068673,0.033333333,0.191666667,8.670615123,0.019491204,0.043367035,0.229937672,17.52535902,0,0.008333333,0,0.215309588,0,0,0,0,0,0.083333333,0.104080872,0.414407337,0.863240676,6.155200717,0.281800473,1.279738302,0.758395559,0.121941178,0.010072257,91.84995404,159.3171785,5.243609134,10.41918346,3.886701593,0.936612492,PanIN,(20.432121 18.200346) -> (20.446135 18.186380),20.439128,18.193363
8019_ROI_004_P,21,7100.517339,4.244138768,13.5275018,0.044444444,0.022222222,19.73767585,64.04546801,10.47146283,0.795177325,0.171549179,15.37313303,0.426529215,5.739543875,0.11664942,0.102832719,9.562314505,0.245303877,0.325023659,0.044444444,48.94466934,1.057622965,8.562411838,0,0.801206365,0.386926639,0,0,0,0,1.192473686,0.270643919,0.382090908,0.598018483,14.15363136,0.469645103,3.098269214,1.034989351,0.29035524,0.041807514,245.2135099,436.4663052,7.430955259,15.35249444,6.667826744,0.704664169,PanIN,(20.374067 18.198351) -> (20.383076 18.181393),20.3785715,18.189872
8019_ROI_004_P,22,7056.873505,4.01781552,13.7308593,2.670768097,4.59776627,20.57605525,63.73017931,0,0,0.159354632,0.548525172,0,0.020833333,0,0.780654602,5.747263551,0.870420143,0.721507373,35.54297722,22.31080059,0.00398988,1.343859044,0,0.650975473,0,0,0.020966676,0,0,0.098320038,0.206592555,0.322909815,2.472143499,2.771821246,0.233210385,2.511332062,1.799684038,0.084211389,0.020833333,57.32474605,105.6271365,10.72408309,15.17443274,8.293873231,0.654087499,PanIN,(20.657330 18.198351) -> (20.665337 18.188375),20.6613335,18.193363
8019_ROI_004_P,23,7064.572821,4.621261693,14.03888109,0.032504491,1.423371924,19.89994442,63.70375661,0,0,0,0.128369263,0,0,0,0.417651654,1.386531697,0.014492754,0.21503988,2.57202221,1.778379639,0,0.109119363,0,0.863246992,0.057971014,0,0,0,0,0.133850884,0.163318108,0.493991967,0.250725582,1.177913023,0.157702766,1.028797123,0.542091064,0.061978134,0.008758484,44.85869216,76.93297777,5.859801786,4.248172666,6.941806079,0.685230586,PanIN,(20.596273 18.197353) -> (20.610287 18.183388),20.60328,18.1903705
