Name,Cell_ID,ArAr.80_Hg,Ru.100_Ru,Ru.102_Ru,Cd.113_aSMA,Sn.115_ECAD,I.127_127I,Xe.131_131Xe,Pr.141_S100A9,Nd.142_F4,Nd.143_Ly6G,Nd.144_CD68,Nd.145_MHCII,Nd.146_MMR,Sm.147_CD10,Sm.149_TCF1,Sm.150_PDPN,Sm.152_CD31,Eu.153_TOX,Sm.154_Pankeratin,Gd.155_Vimentin,Gd.156_Arginase1,Gd.158_CD11c,Tb.159_lgD,Dy.160_B220,Dy.161_CD3e,Dy.162_CD4,Dy.163_CD8a,Dy.164_BCL6,Ho.165_FOXP3,Er.166_CD86,Er.167_GranzymerB,Tm.169_BCL6,Yb.170_CD21,Yb.172_CD45,Yb.173_CD79a,Yb.174_PDL1,Lu.175_PD1,Lu.176_LgM,BCKG.190_190BCKG,Ir.191_191Ir,Ir.193_193Ir,Pt.195_IMCSEGEM,Pt.196_IMCSEGEM,Pt.198_IMCSEGEM,Pb.204_204Pb,Object.Info...ROIName,Object.Info...Envelope,X_position,Y_position
8084_ROI_002_N2,1,8422.099684,4.390016413,14.01391266,0.066006601,0.283194434,29.01406556,75.70755098,0,0.00660066,0.025133677,0.044751384,0,0,0.007659891,0.698465604,1.218455279,0.579101516,0.142548624,3.228854003,4.393769657,0,0.02310231,0,1.009042312,0.04950495,0,0,0,0.00330033,0.087579523,0.173772988,1.338016433,0.307562768,1.175946077,0.12994393,0.718545052,0.722856471,0.141450404,0.013145635,84.4752443,148.5696172,4.757011235,3.194587118,5.425620697,0.90431297,Normal 2,(29.542459 11.365131) -> (29.562469 11.344186),29.552464,11.3546585
8084_ROI_002_N2,2,8411.144745,3.094417224,8.817199134,4.152235134,0.227050196,28.74829831,76.38572471,0,0.001658456,0,2.107344903,0.009708738,2.939047346,0,0.004854369,1.487473093,2.014665854,0.015907248,0.052932543,14.09481882,0.04368932,0,0,0.058474369,0,0,0,0,0,0.058675302,0.058735925,0.26638441,0.352966089,2.005445247,0.123333134,0.559840008,0.236167298,0.132470392,0.014563107,90.85551003,160.7851335,2.192447611,4.370870083,3.726748326,0.922661538,Normal 2,(29.529453 11.361141) -> (29.545462 11.342192),29.5374575,11.3516665
8084_ROI_002_N2,3,8425.517935,5.009336283,15.81812597,0.282386922,0.839075659,28.50007015,74.59177366,0,0,0.006578947,0.000616095,0,0,0.089998561,0.372445322,0.604501864,1.5634481,0.096798671,11.24470749,2.857849814,0,0.011681281,0,0.983840967,0.078947368,0,0,0,0,0.206581668,0.159733877,1.252473905,0.506586527,1.311214781,0.10973251,0.77673374,0.737033322,0.119422241,0.038447109,31.74678753,56.8838689,6.412334637,7.06119378,6.844126583,1.145423634,Normal 2,(29.560469 11.357152) -> (29.571474 11.341194),29.5659715,11.349173
8084_ROI_002_N2,4,8441.712609,2.733573058,9.122195874,1.671389273,0.190590505,28.88280907,76.49113779,0,0,0,0,0,0,0.036082474,0.171390471,0.469676841,8.424893609,0.100409968,3.480337218,8.406986575,0.005154639,0.010309278,0,0.48563876,0.027665522,0,0,0,0,0.082753451,0.146621938,0.764951841,0.372741913,0.902853765,0.041458991,0.688831605,0.499051785,0.090212926,0.019547918,65.54416811,115.6391016,3.694222828,5.103696195,5.605344335,0.907509949,Normal 2,(29.570473 11.356154) -> (29.586481 11.333215),29.578477,11.3446845
8084_ROI_002_N2,5,8458.948462,3.552588527,10.01523241,3.967563756,0.384437998,28.67752395,77.91073004,0,0,0,0.072072072,0,0.027027027,0,0.248963495,3.227170854,3.674634557,0.09009009,1.727959743,10.49627748,0,0.046225381,0,0.638808801,0.018018018,0,0,0,0,0.229465855,0.081338833,0.833867561,0.155043817,0.669924389,0.070390744,0.924431929,0.311700249,0.082419509,0.027027027,95.837155,167.80623,2.500172168,3.526308857,3.672932805,1.052358312,Normal 2,(29.506441 11.350170) -> (29.523451 11.339199),29.514946,11.3446845
8084_ROI_002_N2,6,8452.59969,4.336930399,11.89352316,0.213962702,0.02739726,28.36309161,76.33505071,0,0,0.01369863,0.45494213,0,0.164383562,0,0.082662896,3.134538824,1.704037157,0,0.603514519,32.13887087,0,0,0,0,0.01369863,0,0,0,0,0.01369863,0.087883688,0.241002963,0.291582895,0.702078004,0.076358206,0.585378139,0.345266029,0.118741656,0.035145573,174.0684986,310.2569198,3.130603694,3.090650099,2.7966132,1.245233704,Normal 2,(29.543459 11.346181) -> (29.556465 11.337204),29.549962,11.3416925
8084_ROI_002_N2,7,8440.466819,3.594035263,11.40786616,2.922677772,0.214484699,29.58403956,75.91640852,0,0,0.011363636,0.076866214,0,0.022727273,0.017045455,0.151595472,4.427556366,3.30720764,0.028409091,1.481207588,11.7477298,0,0.005681818,0,0.617178705,0.035991824,0,0,0,0,0.096590909,0.107798081,0.608202751,0.144469361,0.687105201,0.046106849,0.791365822,0.394476217,0.099237339,0.005681818,114.8469574,201.6482609,3.142906771,3.285490729,3.628730436,1.035058461,Normal 2,(29.510445 11.344186) -> (29.527452 11.324239),29.5189485,11.3342125
8084_ROI_002_N2,8,8435.092057,3.084387679,9.184743686,3.833329323,0.175541183,29.82937741,76.85684215,0,0,0.007407407,0.452332773,0,0.199128753,0,0.192271084,1.968058571,2.712827871,0.037037037,0.194430663,20.77773286,0,0.018670762,0,0.037037037,3.284848203,0.044444444,0.037037037,0,0,0.007407407,0.086552797,0.143802842,0.286034674,3.463042952,0.084493521,0.466578408,0.338720368,0.080846488,0.022354956,119.0628249,214.4507747,2.53398469,6.559826114,3.013658365,0.947952133,Normal 2,(29.528452 11.344186) -> (29.542459 11.329226),29.5354555,11.336706
8084_ROI_002_N2,9,8455.576541,3.830612725,11.61552774,0.295660334,0.073036766,30.48628599,78.95769516,0,0,0,0.106466352,0,0,0,0.118840934,1.90545644,3.218701325,0.031808995,1.132753974,9.709816458,0,0,0,0.288182125,0,0,0,0,0,0,0.085535591,0.696436202,0.218369705,0.576650531,0.055219002,0.309290202,0.430401728,0.114225907,0,56.47807662,101.3366293,3.219019794,2.793381283,3.435351082,0.979876516,Normal 2,(29.552464 11.343188) -> (29.564470 11.331221),29.558467,11.3372045
8084_ROI_002_N2,10,8414.21959,3.791798833,11.12696618,0.16,0.667713049,29.43301549,78.87537518,0,0.016,0.016,0.024,0,0,0.317947296,0.159930554,2.138780992,0.492581221,0.17771557,10.87596686,8.01259596,0,0.066599248,0,0.016,0.118915389,0,0,0,0,0.074260509,0.195746555,0.355848344,0.810394555,0.854545478,0.070315456,1.052586547,0.530539021,0.035697254,0.018020012,286.0840227,506.8761732,6.48494108,9.176054867,5.342711279,0.878597011,Normal 2,(29.538458 11.338202) -> (29.556465 11.322244),29.5474615,11.330223
8084_ROI_002_N2,11,8390.87843,5.673077423,16.95202609,0.067073171,0.282705376,29.26247132,76.75618995,0,0,0.024390244,0.018292683,0,0,0.077123963,0.324638655,0.897186413,1.266112887,0.091463415,7.824132165,4.559203685,0,0.030498526,0,1.218649643,0.110461996,0,0,0,0,0.159067758,0.163892348,1.726077337,0.487874844,1.182062058,0.130965773,0.735371536,0.82357936,0.072914888,0.035106735,57.32184927,98.99641131,5.753793407,3.528056926,5.76377275,1.047298995,Normal 2,(29.499439 11.336207) -> (29.513445 11.321246),29.506442,11.3287265
