"","7731_ROI_001_LA1","7731_ROI_001_LA2","7731_ROI_001_P","7785_ROI_001_LA","7785_ROI_001_P","7785_ROI_004_N","7811_ROI_001_split_TC","7811_ROI_001_split_TE","7811_ROI_001_TC","7811_ROI_001_TE","7811_ROI_002_TC","7811_ROI_003_N","7813_ROI_001_TE","7813_ROI_002_TC","7813_ROI_002_TE","7813_ROI_003_TE","7813_ROI_005_TC","7986_ROI_001_P","7986_ROI_4_N","7999_ROI_001_TC","7999_ROI_001_TE","7999_ROI_002_TE","7999_ROI_003_TC","7999_ROI_005_LA1","7999_ROI_005_LA2","7999_ROI_005_TC","7999_ROI_005_TE","7999_ROI_006_TC","7999_ROI_007_TC","7999_ROI_008_TE","7999_ROI_009_TC","8016_ROI_001_P","8016_ROI_002_P","8019_ROI_001_N","8019_ROI_003_P","8019_ROI_004_LA","8019_ROI_004_P","8082_ROI_001_TE","8082_ROI_002_LA1","8082_ROI_002_LA2","8082_ROI_002_TE","8082_ROI_003_TC","8082_ROI_003_TE","8084_ROI_001_P","8084_ROI_002_N1","8084_ROI_002_N2","8084_ROI_003_N1","8084_ROI_003_N2","8084_ROI_003_N3","8084_ROI_003_N4","8084_ROI_003_N5","8180_ROI_001_LA","8180_ROI_001_TC","8180_ROI_001_TE","8180_ROI_002_TE","8180_ROI_003_TE","8180_ROI_004_TC","8180_ROI_004_TE","8180_ROI_005_TC","8180_ROI_005_TE","8180_ROI_006_TC"
"1",0,2,405,9,84,15,1,0,1,0,7,46,24,0,84,52,14,150,26,2,34,213,2,0,3,6,6,10,0,392,2,0,0,23,430,13,108,105,5,0,283,0,0,281,84,32,27,12,8,10,16,4,0,5,49,104,0,152,0,73,3
"2",0,0,226,0,47,3,0,0,0,0,93,1,0,2,311,970,15,98,0,0,0,0,3,0,0,0,0,0,6,2,18,2,1,4,23,0,0,1047,0,0,1,1090,2,69,1,1,0,0,0,0,0,0,0,1,11,0,1,4,0,0,0
"3",0,0,37,0,11,0,1,0,0,0,131,1,2,0,9,10,6,39,0,3,3,2,10,0,0,1,2,4,9,1,16,0,0,3,20,0,5,119,0,0,0,22,1,155,2,0,1,0,0,0,0,0,23,28,13,15,10,17,0,0,0
"4",60,49,24,11,6,0,37,126,76,130,109,0,20,2,15,14,4,12,0,163,264,49,5,12,4,3,26,8,1,110,0,11,5,4,115,19,40,105,311,1,198,12,4,32,0,0,0,0,0,0,0,315,5,163,265,117,14,128,1,1,4
"5",3,54,34,37,15,2,10,11,19,27,23,0,6,8,14,8,22,8,0,103,140,110,6,16,1,2,18,16,3,181,1,42,43,2,198,26,62,217,27,0,193,52,33,107,1,0,0,0,0,1,1,55,13,267,202,173,16,117,20,27,211
"6",24,10,96,16,105,0,21,25,24,30,82,0,22,34,57,53,49,24,0,143,122,74,29,12,2,36,67,55,5,206,6,13,4,1,466,16,230,819,71,0,574,390,183,213,0,0,1,0,0,0,0,43,57,632,513,607,281,1073,1,3,4
"7",1,10,190,1,59,37,7,11,7,20,46,120,0,72,427,290,472,23,30,450,640,326,493,41,13,71,289,849,340,728,211,460,234,29,279,3,165,294,9,0,276,212,94,168,52,19,14,11,6,7,24,28,6,129,176,175,53,234,16,24,52
"8",14,17,19,53,54,1,13,71,43,130,51,7,8,39,129,103,22,23,0,131,151,92,7,6,3,3,30,11,0,81,0,20,5,3,221,13,42,285,80,0,230,38,37,199,2,1,2,0,0,0,0,59,4,181,210,109,22,161,8,5,26
"9",0,0,19,0,0,2,0,0,0,0,3,14,0,0,0,0,19,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,5,0,1,6,0,0,0,0,0,6,0,0,5,0,9,5,1,0,1,2,0,2,0,1,0,1,0
"10",0,0,7,0,14,3,9,1,1,0,65,3,10,143,1665,748,46,1,0,65,21,102,435,1,0,7,23,73,116,39,114,8,2,6,31,0,13,91,1,0,249,1638,229,9,1,0,0,0,0,1,0,0,0,4,31,4,0,22,0,0,0
"11",0,1,4,81,0,0,0,5,0,2,1,0,3,0,11,21,8,2,0,47,83,20,2,76,52,0,30,6,2,30,2,47,34,0,6,0,1,7,1,0,20,12,1,0,0,0,0,0,0,0,0,6,0,5,3,1,0,1,0,0,14
"12",0,0,7,0,6,0,2,0,0,0,192,0,1,3,28,20,52,12,0,6,5,1,13,1,0,0,4,8,18,7,2,0,0,0,25,0,13,116,0,0,3,26,1,67,0,0,0,0,0,0,0,0,1,4,3,2,0,1,1,0,8
"13",0,0,161,0,134,0,6,1,7,0,110,2,77,3,35,19,1,4,0,10,4,0,8,0,0,0,1,0,1,9,0,2,0,1,957,3,219,1324,1,0,14,13,4,429,0,0,0,0,0,0,0,0,0,6,8,1,0,0,0,0,0
"14",0,0,22,38,70,16,1,1,0,0,4,24,60,123,145,71,204,9,2,81,129,38,0,3,2,3,46,30,39,520,9,19,1,3,141,0,90,108,0,0,33,115,2,11,5,2,0,0,0,0,0,0,0,1,23,0,2,19,0,20,1
"15",0,0,2,0,2,0,0,0,0,0,0,1,0,5,3,4,6,1,0,33,39,42,5,0,0,7,37,18,2,73,2,1,0,0,1,0,0,2,0,0,19,1,0,0,1,1,0,0,0,0,1,0,0,0,5,1,0,10,16,8,3448
"16",0,0,0,0,3,0,0,0,0,0,0,5,0,1,13,7,3,2,0,27,32,44,5,0,1,11,18,54,15,62,3,3,1,0,1,0,0,2,0,0,19,1,0,0,2,0,0,0,0,0,0,1,0,0,7,2,0,23,159,241,1033
"17",3,3,3,10,36,2,1,9,2,4,1,11,9,13,67,39,7,3,0,88,178,25,9,10,2,2,30,5,3,107,2,272,270,2,61,1,26,30,14,0,139,35,18,7,1,0,0,0,0,0,0,6,0,47,46,34,18,92,2,4,7
"18",4,2,14,5,25,12,0,7,0,5,2,20,3,18,38,10,11,5,1,1042,1393,454,16,66,15,3,263,62,19,803,0,9,5,1,28,0,20,34,1,0,94,15,7,11,5,0,0,1,0,0,2,0,1,3,80,21,10,55,6,13,23
"19",31,18,10,5,5,0,63,215,76,115,73,1,6,11,16,10,17,1,0,164,301,88,8,84,25,8,59,7,7,168,2,147,135,1,83,12,23,58,75,0,188,35,7,9,0,0,0,0,0,0,0,51,5,85,80,92,49,135,1,3,6
"20",58,129,87,15,28,1,2,2,7,5,30,0,38,5,13,15,4,1,0,16,6,3,7,3,1,0,19,11,4,322,1,133,27,1,309,141,103,645,6,0,114,13,39,29,0,0,0,0,0,0,0,4,0,87,331,38,0,65,0,4,2
"21",0,0,1,0,3,0,14,5,6,1,31,0,2,41,147,67,4903,1,0,33,18,45,142,2,0,22,38,311,101,169,26,1,1,0,16,0,7,22,1,0,25,211,16,2,0,0,0,0,0,0,0,4,5,36,39,16,4,22,0,0,1
"22",1,2,3,7,8,1,0,0,1,0,0,6,1,11,25,12,8,0,2,58,22,38,76,5,0,14,38,585,186,397,123,15,4,1,12,0,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,786,1701,190
"23",0,0,0,0,21,15,3,0,0,0,3,8,4,3,14,17,4,0,18,177,621,399,14,0,0,1,2,5,4,55,1,7,0,0,14,0,11,5,0,0,14,12,1,0,12,4,2,2,0,0,0,0,0,0,4,1,0,11,1,0,0
