"","cluster",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","CD11c+ GZMB+","densities_m","Normal","PanIN",0.418961725159341,1,"0.4190","ns","Wilcoxon"
"2","CD11c+ GZMB+","densities_m","Normal","Tumor Edge",0.0462058451346864,1,"0.0462","*","Wilcoxon"
"3","CD11c+ GZMB+","densities_m","Normal","Tumor Core",0.120326917447359,1,"0.1203","ns","Wilcoxon"
"4","CD11c+ GZMB+","densities_m","Normal","Lymphoid Aggregate",0.536564435387266,1,"0.5366","ns","Wilcoxon"
"5","CD11c+ GZMB+","densities_m","PanIN","Tumor Edge",0.129126446650942,1,"0.1291","ns","Wilcoxon"
"6","CD11c+ GZMB+","densities_m","PanIN","Tumor Core",0.901776792666647,1,"0.9018","ns","Wilcoxon"
"7","CD11c+ GZMB+","densities_m","PanIN","Lymphoid Aggregate",0.454578508481658,1,"0.4546","ns","Wilcoxon"
"8","CD11c+ GZMB+","densities_m","Tumor Edge","Tumor Core",0.02103638386192,1,"0.0210","*","Wilcoxon"
"9","CD11c+ GZMB+","densities_m","Tumor Edge","Lymphoid Aggregate",0.0149457547678276,1,"0.0149","*","Wilcoxon"
"10","CD11c+ GZMB+","densities_m","Tumor Core","Lymphoid Aggregate",0.547871645881833,1,"0.5479","ns","Wilcoxon"
"11","CD3+ BCL6+ PD1+","densities_m","Normal","PanIN",0.138408493450291,1,"0.1384","ns","Wilcoxon"
"12","CD3+ BCL6+ PD1+","densities_m","Normal","Tumor Edge",0.0391433722321365,1,"0.0391","*","Wilcoxon"
"13","CD3+ BCL6+ PD1+","densities_m","Normal","Tumor Core",0.298963154209506,1,"0.2990","ns","Wilcoxon"
"14","CD3+ BCL6+ PD1+","densities_m","Normal","Lymphoid Aggregate",0.0744139030332107,1,"0.0744","ns","Wilcoxon"
"15","CD3+ BCL6+ PD1+","densities_m","PanIN","Tumor Edge",0.0132213177546229,1,"0.0132","*","Wilcoxon"
"16","CD3+ BCL6+ PD1+","densities_m","PanIN","Tumor Core",0.923050765787247,1,"0.9231","ns","Wilcoxon"
